query,response
Is there a complete genome for Monkeypox virus?,Error: Request timed out after 5 min.,1229.3455920219421
What is the host of Betapapillomavirus 1?,"{'query': 'What is the host of Betapapillomavirus 1?', 'answer': 'betapapillomavirus 1: bio/Betapapillomavirus1', 'debug': ''}",16.52005410194397
What is the exemplar isolate of Betapapillomavirus 1?,"{'query': 'What is the exemplar isolate of Betapapillomavirus 1?', 'answer': 'Betapapillomavirus 1 has many isolates including:\n* Betapapillomavirus 1 AY382778 [1]\n* Betapapillomavirus 1 strain b_wart3 [1]\n* Betapapillomavirus 1 strain CL3220 [1]\n* Betapapillomavirus 1 strain DL294 [1]\n* Betapapillomavirus 1 EF028290 [1]\n* Betapapillomavirus 1 strain GA1-3 [1]\n* Betapapillomavirus 1 strain GA3-1 [1]\n* Betapapillomavirus 1 GU014533 [1]\n* Betapapillomavirus 1 M12737 [1]\n* Betapapillomavirus 1 M17463 [1]\n* Betapapillomavirus 1 M32305 [1]\n* Betapapillomavirus 1 strain Muc17.1 [1]\n* Betapapillomavirus 1 strain NJ3900 [1]\n* Betapapillomavirus 1 U31778 [1]\n* Betapapillomavirus 1 U31779 [1]\n* Betapapillomavirus 1 U31782 [1]\n* Betapapillomavirus 1 U31785 [1]\n* Betapapillomavirus 1 X74466 [1]\n* Betapapillomavirus 1 X74467 [1]\n* Betapapillomavirus 1 X74470 [1]\n* Betapapillomavirus 1 X74471 [1]\nI could not find information about exemplar isolates. Please add ""exemplar isolate of Betapapillomavirus 1"" to ""additional_entity_names"" if you would like me to search for it.', 'debug': '\n{\n    ""bio/Betapapillomavirus1"": []\n}', 'footnotes': [{'refNum': 1, 'source': 'bio/Betapapillomavirus1', 'isOutgoing': False, 'prop': 'ofVirusSpecies', 'linkedType': 'VirusIsolate'}]}",9.31914496421814
What is Acanthamoeba polyphaga?,"{'query': 'What is Acanthamoeba polyphaga?', 'answer': 'Acanthamoeba polyphaga is a species [1] of eukaryota [2] classified as an invertebrate [3].\n\nIts NCBI Taxon ID is 5757. [4]\n\nIt is a specialization of Acanthamoeba. [5]\n\nTwo genome assemblies are associated with this species: \n\n*   GCA_000826345.1 [6]\n*   ASM156762v1 (GCA_001567625.1) [7]', 'debug': '\n{\n    ""bio/AcanthamoebaPolyphaga"": []\n}', 'footnotes': [{'refNum': 1, 'source': 'bio/AcanthamoebaPolyphaga', 'isOutgoing': True, 'prop': 'taxonRank', 'linkedType': ''}, {'refNum': 2, 'source': 'bio/AcanthamoebaPolyphaga', 'isOutgoing': True, 'prop': 'taxonTopLevelCategory', 'linkedType': ''}, {'refNum': 3, 'source': 'bio/AcanthamoebaPolyphaga', 'isOutgoing': True, 'prop': 'taxonDivision', 'linkedType': ''}, {'refNum': 4, 'source': 'bio/AcanthamoebaPolyphaga', 'isOutgoing': True, 'prop': 'ncbiTaxId', 'linkedType': ''}, {'refNum': 5, 'source': 'bio/AcanthamoebaPolyphaga', 'isOutgoing': True, 'prop': 'specializationOf', 'linkedType': ''}, {'refNum': 6, 'source': 'bio/AcanthamoebaPolyphaga', 'isOutgoing': False, 'prop': 'ofSpecies', 'linkedType': 'GenomeAssembly'}, {'refNum': 7, 'source': 'bio/AcanthamoebaPolyphaga', 'isOutgoing': False, 'prop': 'ofSpecies', 'linkedType': 'GenomeAssembly'}]}",8.621222734451294
What genes are associated with rs12777823?,"{'query': 'What genes are associated with rs12777823?', 'answer': 'rs12777823: bio/rs12777823', 'debug': ''}",24.141999006271362
What disease is associated with rs7903146?,"{'query': 'What disease is associated with rs7903146?', 'answer': 'rs7903146: bio/rs7903146', 'debug': ''}",39.10088896751404
What genes does rs429358 regulate?,"{'query': 'What genes does rs429358 regulate?', 'answer': 'rs429358: bio/rs429358', 'debug': ''}",49.531278133392334
In which tissues is FGFR1 found?,Error: Request timed out after 5 min.,2188.748522043228
What proteins are associated with FGFR1?,"{'query': 'What proteins are associated with FGFR1?', 'answer': 'fgfr1: bio/FGFR1, bio/ncbi_100057614, bio/ncbi_100029852', 'debug': ''}",204.105801820755
What is the hg38 genomic location of FGFR1?,"{'query': 'What is the hg38 genomic location of FGFR1?', 'answer': 'fgfr1: bio/FGFR1, bio/ncbi_100057614, bio/ncbi_100029852', 'debug': ''}",199.71213626861572
What are the transcripts of FGFR1?,"{'query': 'What are the transcripts of FGFR1?', 'answer': 'fgfr1: bio/FGFR1, bio/ncbi_100057614, bio/ncbi_100029852', 'debug': ''}",192.26371121406555
What type of gene is FGFR1?,"{'query': 'What type of gene is FGFR1?', 'answer': 'FGFR1 is a protein-coding gene. [1]\n\nIts type is unknown. [2]', 'debug': '\n{\n    ""bio/FGFR1"": [],\n    ""bio/ncbi_100029852"": [],\n    ""bio/ncbi_100057614"": []\n}', 'footnotes': [{'refNum': 1, 'source': 'bio/FGFR1', 'isOutgoing': True, 'prop': 'typeOf', 'linkedType': ''}, {'refNum': 2, 'source': 'bio/FGFR1', 'isOutgoing': True, 'prop': 'typeOfGene', 'linkedType': ''}]}",16.788779973983765
What is the HGNC ID of FGFR1?,"{'query': 'What is the HGNC ID of FGFR1?', 'answer': 'The HGNC ID for FGFR1 is HGNC:3688. [1]\n', 'debug': '\n{\n    ""bio/FGFR1"": [],\n    ""bio/ncbi_100029852"": [],\n    ""bio/ncbi_100057614"": []\n}', 'footnotes': [{'refNum': 1, 'source': 'bio/FGFR1', 'isOutgoing': True, 'prop': 'hgncID', 'linkedType': ''}]}",16.54798412322998
What diseases is FGFR1 associated with and how are they associated?,"{'query': 'What diseases is FGFR1 associated with and how are they associated?', 'answer': 'fgfr1: bio/FGFR1, bio/ncbi_100057614, bio/ncbi_100029852', 'debug': ''}",188.79631924629211
What drugs act on FGFR1?,"{'query': 'What drugs act on FGFR1?', 'answer': 'fgfr1: bio/FGFR1, bio/ncbi_100057614, bio/ncbi_100029852', 'debug': ''}",161.8635129928589
What is the protein level of FGFR1 in macrophages?,"{'query': 'What is the protein level of FGFR1 in macrophages?', 'answer': 'fgfr1: bio/FGFR1, bio/ncbi_100057614, bio/ncbi_100029852', 'debug': ''}",11.614804029464722
What genes are associated with lujo hemorrhagic fever and how were these associations made?,"{'query': 'What genes are associated with lujo hemorrhagic fever and how were these associations made?', 'answer': 'lujo hemorrhagic fever: bio/C000723471, bio/DOID_0050202', 'debug': ''}",55.347895860672
What is the ICD10 code of meningococcal meningitis?,"{'query': 'What is the ICD10 code of meningococcal meningitis?', 'answer': 'The ICD10 code for meningococcal meningitis is A39.0 [1].', 'debug': '\n{\n    ""ICD10/A39.0"": [],\n    ""MeningococcalMeningitis"": [],\n    ""bio/DOID_0080176"": []\n}', 'footnotes': [{'refNum': 1, 'source': 'ICD10/A39.0', 'isOutgoing': True, 'prop': 'name', 'linkedType': ''}]}",6.454310178756714
What is the concept unique id for rheumatoid arthritis?,"{'query': 'What is the concept unique id for rheumatoid arthritis?', 'answer': 'The concept unique ID for rheumatoid arthritis is C0003873. [1]', 'debug': '\n{\n    ""bio/DOID_7148"": []\n}', 'footnotes': [{'refNum': 1, 'source': 'bio/DOID_7148', 'isOutgoing': True, 'prop': 'umlsConceptUniqueID', 'linkedType': ''}]}",37.85475301742554
What is the UMLS CUI for rheumatoid arthritis?,"{'query': 'What is the UMLS CUI for rheumatoid arthritis?', 'answer': 'The UMLS CUI for rheumatoid arthritis is C0003873.[1]', 'debug': '\n{\n    ""bio/DOID_7148"": []\n}', 'footnotes': [{'refNum': 1, 'source': 'bio/DOID_7148', 'isOutgoing': True, 'prop': 'umlsConceptUniqueID', 'linkedType': ''}]}",29.82744073867798
What diseases is rheumatoid arthritis associated with?,"{'query': 'What diseases is rheumatoid arthritis associated with?', 'answer': 'rheumatoid arthritis: bio/DOID_7148', 'debug': ''}",30.448798179626465
What is pulmonary embolism a specialization of?,"{'query': 'What is pulmonary embolism a specialization of?', 'answer': 'pulmonary embolism: ICD10/I26, bio/DOID_9477, bio/D011655', 'debug': ''}",56.79551100730896
What genes are associated with pulmonary embolism?,"{'query': 'What genes are associated with pulmonary embolism?', 'answer': 'pulmonary embolism: ICD10/I26, bio/DOID_9477, bio/D011655', 'debug': ''}",55.42849087715149
What is the chembl ID of acetaminophen?,"{'query': 'What is the chembl ID of acetaminophen?', 'answer': 'Acetaminophen has the ChEMBL ID CHEMBL112. [1]', 'debug': '\n{\n    ""bio/D000082"": [],\n    ""chem/CID1983"": []\n}', 'footnotes': [{'refNum': 1, 'source': 'chem/CID1983', 'isOutgoing': True, 'prop': 'chemblID', 'linkedType': ''}]}",6.824897050857544
What is acetaminophen's SMILE?,"{'query': ""What is acetaminophen's SMILE?"", 'answer': ""Acetaminophen's SMILE is CC(=O)NC1=CC=C(C=C1)O [1]."", 'debug': '\n{\n    ""bio/D000082"": [],\n    ""chem/CID1983"": []\n}', 'footnotes': [{'refNum': 1, 'source': 'chem/CID1983', 'isOutgoing': True, 'prop': 'simplifiedMolecularInputLineEntrySystem', 'linkedType': ''}]}",9.274841070175171
What drugs are associated with acetaminophen?,"{'query': 'What drugs are associated with acetaminophen?', 'answer': 'acetaminophen: chem/CID1983, bio/D000082', 'debug': ''}",49.42355513572693
What is hydrocortisone a specialization of?,"{'query': 'What is hydrocortisone a specialization of?', 'answer': 'hydrocortisone: bio/D006854, chem/CID5754', 'debug': ''}",50.77454900741577
"What is the MeSH id for N,N-didesmethyldiltiazem?","{'query': 'What is the MeSH id for N,N-didesmethyldiltiazem?', 'answer': 'The MeSH ID for N,N-didesmethyldiltiazem is C523297 [1].', 'debug': '\n{\n    ""bio/C523297"": []\n}', 'footnotes': [{'refNum': 1, 'source': 'bio/C523297', 'isOutgoing': True, 'prop': 'identifier', 'linkedType': ''}]}",3.691133975982666
What is the pharmacologic action of Diltiazem?,"{'query': 'What is the pharmacologic action of Diltiazem?', 'answer': 'Diltiazem is a benzothiazepine derivative with vasodilating action due to its antagonism of the actions of calcium ion on membrane functions [1].  It is classified as a Calcium Channel Blocker [2], Antihypertensive Agent [2], Vasodilator Agent [2], Membrane Transport Modulator [2], Calcium-Regulating Hormone and Agent [2], and Cardiovascular Agent [2].', 'debug': '\n{\n    ""bio/D004110"": [],\n    ""chem/CID39186"": []\n}', 'footnotes': [{'refNum': 1, 'source': 'bio/D004110', 'isOutgoing': True, 'prop': 'scopeNote', 'linkedType': ''}, {'refNum': 2, 'source': 'bio/D004110', 'isOutgoing': True, 'prop': 'mechanismOfAction', 'linkedType': ''}]}",5.9082489013671875
What genes are associated with dopamine?,"{'query': 'What genes are associated with dopamine?', 'answer': 'dopamine: bio/D004298, chem/CID681', 'debug': ''}",33.57441711425781
What genes are associated with dopamine via multilink annotation?,"{'query': 'What genes are associated with dopamine via multilink annotation?', 'answer': 'dopamine: bio/D004298, chem/CID681', 'debug': ''}",32.69347620010376
What drugs is rs559628884 associated with?,"{'query': 'What drugs is rs559628884 associated with?', 'answer': 'rs559628884: bio/rs559628884', 'debug': ''}",31.170093059539795
Are there any drugs that are known to be not associated with rs559628884?,"{'query': 'Are there any drugs that are known to be not associated with rs559628884?', 'answer': 'rs559628884: bio/rs559628884', 'debug': ''}",31.28331422805786
What genetic variants are associated with zonisamide?,"{'query': 'What genetic variants are associated with zonisamide?', 'answer': 'zonisamide: chem/CID5734, bio/D000078305', 'debug': ''}",49.220017194747925
What genetic variants are associated with both alzheimer's disease and rheumatoid arthritis?,"{'query': ""What genetic variants are associated with both alzheimer's disease and rheumatoid arthritis?"", 'answer': ""alzheimer's disease: ICD10/G30, bio/DOID_10652"", 'debug': ''}",28.826519012451172
What genes and genetic variants are associated with atorvastatin?,"{'query': 'What genes and genetic variants are associated with atorvastatin?', 'answer': 'atorvastatin: bio/D000069059, chem/CID60823', 'debug': ''}",41.18177390098572
What proteins are associated with the protein FGFR1?,"{'query': 'What proteins are associated with the protein FGFR1?', 'answer': 'fgfr1: bio/FGFR1, bio/ncbi_100057614, bio/ncbi_100029852', 'debug': ''}",282.4939823150635
